,Query,A,B,C,ID_ABC,ID_AB,ID_A,ID
551,暴走族が夜うるさいのだけど、誰に言えばいいの？,934,,,['934'],['934'],['934'],['934']
552,使わなくなったヘアワックスは普通ゴミになるのでしょうか？,1784,,,['1784'],['1784'],['1784'],['1784']
553,健康診断のお知らせが届きました。今住んでいる場所から近いところで受けたいのですが、遅くまで受付してくれる場所はありますか？,,433 682 249,,"['433', '682', '249']","['433', '682', '249']",[],"['433', '682', '249']"
554,中小企業支援について教えてください。,251 1562 508 1610,,,"['251', '1562', '508', '1610']","['251', '1562', '508', '1610']","['251', '1562', '508', '1610']","['251', '1562', '508', '1610']"
555,シルバー人材センターで働くにはどうすればいいですか？,171,,,['171'],['171'],['171'],['171']
556,生ごみって分別しなきゃならないの？,1784,,,['1784'],['1784'],['1784'],['1784']
557,仕事をやめたら保険証が変わりますか。,114,,,['114'],['114'],['114'],['114']
558,道に動物の死骸あった時どこに言うたらええんかな？,,,1293,['1293'],[],[],['1293']
559,割れたビンや包丁はどのようにして捨てたら良いのでしょうか？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
560,家庭ゴミが大量に出た場合、どうすればいいですか？,1784,,63,"['1784', '63']",['1784'],['1784'],"['1784', '63']"
561,公園のフェンスが壊れています。,1230,,,['1230'],['1230'],['1230'],['1230']
562,戸籍謄本と戸籍抄本て、何が違うんですか？,386,883,119 19 1131,"['386', '883', '119', '19', '1131']","['386', '883']",['386'],"['386', '883', '119', '19', '1131']"
563,可燃ごみ、不燃ごみ、資源ごみでどれに出すか迷った場合はどうしたら良いでしょうか？,,1784,,['1784'],['1784'],[],['1784']
564,マイナンバーのことどこで聞いたら詳しく教えてくれるんかな？,1182,692 576 987 526 902 787 754 1079 1190 1007 1589,,"['1182', '692', '576', '987', '526', '902', '787', '754', '1079', '1190', '1007', '1589']","['1182', '692', '576', '987', '526', '902', '787', '754', '1079', '1190', '1007', '1589']",['1182'],"['1182', '692', '576', '987', '526', '902', '787', '754', '1079', '1190', '1007', '1589']"
565,バス停の設置でお願いできないの？,,1291,,['1291'],['1291'],[],['1291']
566,地元の地場産業製品の告知などはどうすれば知ることができますか,628,,,['628'],['628'],['628'],['628']
567,一升瓶がたくさんありますのでリサイクルに出したいと思うのですがどこにもって行けばいいでしょうか。,,63,,['63'],['63'],[],['63']
568,雨で川が溢れそうなときは対応してくれますか。,313,1672,,"['313', '1672']","['313', '1672']",['313'],"['313', '1672']"
569,実印を紛失しても印鑑登録カードはそのまま使えますか？,573,,582 529 5 196,"['573', '582', '529', '5', '196']",['573'],['573'],"['573', '582', '529', '5', '196']"
570,夕方になると側溝に小さい虫がいっぱい湧いてくるのですが、なんとかなりませんか？,1117,,,['1117'],['1117'],['1117'],['1117']
571,印鑑登録の申請方法を教えてください。,5,582 196,,"['5', '582', '196']","['5', '582', '196']",['5'],"['5', '582', '196']"
572,出張先で不在者投票はできますか？,238,,75 29,"['238', '75', '29']",['238'],['238'],"['238', '75', '29']"
573,バス停の屋根ってお願いできないの？,,1291,,['1291'],['1291'],[],['1291']
574,街路樹の枝が道路に出ているので伐採をお願いするにはどうすればいいですか,425 1273,1210,,"['425', '1273', '1210']","['425', '1273', '1210']","['425', '1273']","['425', '1273', '1210']"
575,発泡スチロールはどうやってゴミに出せば良いですか？,1784,,,['1784'],['1784'],['1784'],['1784']
576,軽自動車の税金の払い込み用紙をなくしてしまいました。どうすればいいでしょうか,1495,74,,"['1495', '74']","['1495', '74']",['1495'],"['1495', '74']"
577,引っ越ししてきて新たに国民健康保険に申し込んだ場合、手元に保険証が届くのにどれくらいかかりますか？,84,349,1064 901,"['84', '349', '1064', '901']","['84', '349']",['84'],"['84', '349', '1064', '901']"
578,公園の遊具壊れてるんやけど誰に言うたらええんかな？,1230,,,['1230'],['1230'],['1230'],['1230']
579,公共料金のカード払いはできますか？,677,,,['677'],['677'],['677'],['677']
580,スーパーでもらうビニール袋やダンボールに入れてゴミを出しても回収してもらえますか？,1784,210 63,,"['1784', '210', '63']","['1784', '210', '63']",['1784'],"['1784', '210', '63']"
581,家に害獣が出た場合、捕獲するための檻を貸してもらえるんやろか？,,838,185,"['838', '185']",['838'],[],"['838', '185']"
582,選挙のはがきが届いていないがどうなっているか。,1292,494 982 457,,"['1292', '494', '982', '457']","['1292', '494', '982', '457']",['1292'],"['1292', '494', '982', '457']"
583,住民税の支払窓口ってどこ？,706,88,,"['706', '88']","['706', '88']",['706'],"['706', '88']"
584,市役所は何時からやっていますか？,153,,,['153'],['153'],['153'],['153']
585,婚姻届を提出したいのですが,,635,952,"['635', '952']",['635'],[],"['635', '952']"
586,市役所に駐車場はありますか？,487 499,,,"['487', '499']","['487', '499']","['487', '499']","['487', '499']"
587,父親が亡くなりました。,505 488 193 102 149 175 20,,968 667 773,"['505', '488', '193', '102', '149', '175', '20', '968', '667', '773']","['505', '488', '193', '102', '149', '175', '20']","['505', '488', '193', '102', '149', '175', '20']","['505', '488', '193', '102', '149', '175', '20', '968', '667', '773']"
588,高齢者について相談したいのですが？,639,21 486 384 151 67,,"['639', '21', '486', '384', '151', '67']","['639', '21', '486', '384', '151', '67']",['639'],"['639', '21', '486', '384', '151', '67']"
589,ゴミの分別はどのようにすれば良いのでしょうか？,1784,,,['1784'],['1784'],['1784'],['1784']
590,親が亡くなりました,505 488 193 20 102 175,,968 667,"['505', '488', '193', '20', '102', '175', '968', '667']","['505', '488', '193', '20', '102', '175']","['505', '488', '193', '20', '102', '175']","['505', '488', '193', '20', '102', '175', '968', '667']"
591,市役所は何時に開きますか,,952,153,"['952', '153']",['952'],[],"['952', '153']"
592,車の購入、必要な手続きは？,73 191,,,"['73', '191']","['73', '191']","['73', '191']","['73', '191']"
593,婚姻の手続きについて教えて下さい。,,886,635,"['886', '635']",['886'],[],"['886', '635']"
594,ゴミの分別について教えてください,1784,,,['1784'],['1784'],['1784'],['1784']
595,市役所は何時に閉まりますか,213,,,['213'],['213'],['213'],['213']
596,災害時の避難場所はどこですか？,382 147 203 130 295 312 106,,,"['382', '147', '203', '130', '295', '312', '106']","['382', '147', '203', '130', '295', '312', '106']","['382', '147', '203', '130', '295', '312', '106']","['382', '147', '203', '130', '295', '312', '106']"
597,年金課は何階ですか,,463,469,"['463', '469']",['463'],[],"['463', '469']"
598,健康保険に加入したいです。,114,,,['114'],['114'],['114'],['114']
599,ゴミの分別・収集日についてお聞きしたいのですが？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
600,市の職員に対する苦情は、どこに言えばいいのでしょうか？,1688,1221,,"['1688', '1221']","['1688', '1221']",['1688'],"['1688', '1221']"
601,年金相談は予約ができますか,1473,469,667 1063 354 314,"['1473', '469', '667', '1063', '354', '314']","['1473', '469']",['1473'],"['1473', '469', '667', '1063', '354', '314']"
602,引っ越してきました,2,,199 24 138 651,"['2', '199', '24', '138', '651']",['2'],['2'],"['2', '199', '24', '138', '651']"
603,土曜日も利用できますか,42 213 153,,517 184 89,"['42', '213', '153', '517', '184', '89']","['42', '213', '153']","['42', '213', '153']","['42', '213', '153', '517', '184', '89']"
604,ゴミの分別の仕方がよくわかりません。教えて下さい。,1784,63 1391,978,"['1784', '63', '1391', '978']","['1784', '63', '1391']",['1784'],"['1784', '63', '1391', '978']"
605,生活保護を受けたいのですが,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
606,粗大ゴミの出し方は？,1784,1391 3,,"['1784', '1391', '3']","['1784', '1391', '3']",['1784'],"['1784', '1391', '3']"
607,こども総合案内窓口はどちらにありますか？,,205 1728 217,,"['205', '1728', '217']","['205', '1728', '217']",[],"['205', '1728', '217']"
608,市民税が必要となる、最低収入はいくらでしょうか？,428 678,,95,"['428', '678', '95']","['428', '678']","['428', '678']","['428', '678', '95']"
609,婚姻届は何時まで提出可能でしょうか？,153,,952,"['153', '952']",['153'],['153'],"['153', '952']"
610,市民税の納期限はいつですか？,791 1348,979 120 1474,543,"['791', '1348', '979', '120', '1474', '543']","['791', '1348', '979', '120', '1474']","['791', '1348']","['791', '1348', '979', '120', '1474', '543']"
611,ごみの分別はどうしたらいいですか？,1784,,,['1784'],['1784'],['1784'],['1784']
612,家の近くの街路灯が夜になってもつかなくて困っている,1170,1062,1050 1602 1289,"['1170', '1062', '1050', '1602', '1289']","['1170', '1062']",['1170'],"['1170', '1062', '1050', '1602', '1289']"
613,粗大ごみはどうすればいいのですか？,1784 1391,,,"['1784', '1391']","['1784', '1391']","['1784', '1391']","['1784', '1391']"
614,住民票はどこで受け取ることが出来ますか？,150,62,447 396,"['150', '62', '447', '396']","['150', '62']",['150'],"['150', '62', '447', '396']"
615,家の屋根裏にスズメバチの巣ができているのでどうにかしたい。,177,1117,,"['177', '1117']","['177', '1117']",['177'],"['177', '1117']"
616,保育園に申込むにはどうしたらいいですか？,966 674 908,873 539,660 301,"['966', '674', '908', '873', '539', '660', '301']","['966', '674', '908', '873', '539']","['966', '674', '908']","['966', '674', '908', '873', '539', '660', '301']"
617,迷い犬を保護したのですが、どうすればいいですか？,1670,,,['1670'],['1670'],['1670'],['1670']
618,隣人のイヌがワンワン吠えて夜寝付けないのですが、どうすればいいでしょう。,,1120,,['1120'],['1120'],[],['1120']
619,ごみの分別はどうなっていますか？,1784,,,['1784'],['1784'],['1784'],['1784']
620,子供手当ては何日支給でしたか？,,,742 91,"['742', '91']",[],[],"['742', '91']"
621,ゴミの日いつでした？,1784,,,['1784'],['1784'],['1784'],['1784']
622,ペットを飼う事にしましたが、市に届け出が必要ですか？,514 1499,1342,1134,"['514', '1499', '1342', '1134']","['514', '1499', '1342']","['514', '1499']","['514', '1499', '1342', '1134']"
623,郵送で住所変更の手続きをすることは可能ですか？,8,,,['8'],['8'],['8'],['8']
624,市営の体育館を借りたいんですが,252,,1776,"['252', '1776']",['252'],['252'],"['252', '1776']"
625,高齢者の割引サービスはありますか？,,127 21,151 384,"['127', '21', '151', '384']","['127', '21']",[],"['127', '21', '151', '384']"
626,カラスが多くて困ってる,185 511,,,"['185', '511']","['185', '511']","['185', '511']","['185', '511']"
627,警察署はどこでしたっけ？,,1753 1231 1745 1084,,"['1753', '1231', '1745', '1084']","['1753', '1231', '1745', '1084']",[],"['1753', '1231', '1745', '1084']"
628,ねこが道端で倒れてる,,1670,,['1670'],['1670'],[],['1670']
629,公園の遊具をもっと充実させてほしい,,1230,,['1230'],['1230'],[],['1230']
630,燃えるゴミの日はいつでしたっけ？,1784 1784,,,"['1784', '1784']","['1784', '1784']","['1784', '1784']","['1784', '1784']"
631,スズメバチって市で駆除してくれますか？,177,1117 727,,"['177', '1117', '727']","['177', '1117', '727']",['177'],"['177', '1117', '727']"
632,粗大ごみはどのように捨てれば良いですか。,1391 1784,,,"['1391', '1784']","['1391', '1784']","['1391', '1784']","['1391', '1784']"
633,市役所は休日も開いていますか,213 42 153,89,,"['213', '42', '153', '89']","['213', '42', '153', '89']","['213', '42', '153']","['213', '42', '153', '89']"
634,ゴミの分別について知りたい。,1784,,,['1784'],['1784'],['1784'],['1784']
635,親子連れで参加できる地域のイベントはありますか,572 957 0,207,1534,"['572', '957', '0', '207', '1534']","['572', '957', '0', '207']","['572', '957', '0']","['572', '957', '0', '207', '1534']"
636,消費生活相談窓口はどちらにありますか？,741 68,,551,"['741', '68', '551']","['741', '68']","['741', '68']","['741', '68', '551']"
637,運動できる場所はありますか？,1569 252,1262 648 965,,"['1569', '252', '1262', '648', '965']","['1569', '252', '1262', '648', '965']","['1569', '252']","['1569', '252', '1262', '648', '965']"
638,引っ越しをしてきたのですがどんな手続きが必要ですか？,,2 294 138 651 308 192,204 24,"['2', '294', '138', '651', '308', '192', '204', '24']","['2', '294', '138', '651', '308', '192']",[],"['2', '294', '138', '651', '308', '192', '204', '24']"
639,住民票を発行してください。,150,,396,"['150', '396']",['150'],['150'],"['150', '396']"
640,マイナンバーの通知カードを紛失した場合はどこで再発行してもらえますか,,,902 1269 1400,"['902', '1269', '1400']",[],[],"['902', '1269', '1400']"
641,住民票はどこの窓口で取れますか？,150,,62 447 1426,"['150', '62', '447', '1426']",['150'],['150'],"['150', '62', '447', '1426']"
642,どこで印鑑証明書を発行できますか？,529,89 1597,582 42,"['529', '89', '1597', '582', '42']","['529', '89', '1597']",['529'],"['529', '89', '1597', '582', '42']"
643,生活保護の申請方法を知りたいのですが,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
644,大型のゴミはどこに出せばよいのでしょうか,1784,210 1391,,"['1784', '210', '1391']","['1784', '210', '1391']",['1784'],"['1784', '210', '1391']"
645,災害時の避難場所はどこですか,382 130 203 295 147 106 312,,,"['382', '130', '203', '295', '147', '106', '312']","['382', '130', '203', '295', '147', '106', '312']","['382', '130', '203', '295', '147', '106', '312']","['382', '130', '203', '295', '147', '106', '312']"
646,住民税の申告をする時に必要なものは何ですか,,325,405,"['325', '405']",['325'],[],"['325', '405']"
647,安い値段で使用できる体育館はありますか？,135 252,470,1776,"['135', '252', '470', '1776']","['135', '252', '470']","['135', '252']","['135', '252', '470', '1776']"
648,狂犬病予防注射はいつどこで行われますか？,,514,1051 666,"['514', '1051', '666']",['514'],[],"['514', '1051', '666']"
649,駐車場があって水遊びできる公園はありますか？,,,94,['94'],[],[],['94']
650,幼稚園、保育園の一覧はありますか？,266,305 262 475 781,,"['266', '305', '262', '475', '781']","['266', '305', '262', '475', '781']",['266'],"['266', '305', '262', '475', '781']"
651,保育園の空き状況を教えてください,1225,,908 713,"['1225', '908', '713']",['1225'],['1225'],"['1225', '908', '713']"
652,総合防災マップってありますか。,373,690 382,570 647,"['373', '690', '382', '570', '647']","['373', '690', '382']",['373'],"['373', '690', '382', '570', '647']"
653,燃えないゴミの日はいつでしょうか？,1784 1784,,,"['1784', '1784']","['1784', '1784']","['1784', '1784']","['1784', '1784']"
654,住民税の納税場所を教えてください,88,,687,"['88', '687']",['88'],['88'],"['88', '687']"
655,定年退職したら健康保険はどうすればいいですか。,114,634,,"['114', '634']","['114', '634']",['114'],"['114', '634']"
656,保険証の有効期限が切れてしまったのですがどうすればいいか分かりません。,1064 93,,,"['1064', '93']","['1064', '93']","['1064', '93']","['1064', '93']"
657,近くに子供を遊ばせられる公園はありますか？,940,94 861,1750 154,"['940', '94', '861', '1750', '154']","['940', '94', '861']",['940'],"['940', '94', '861', '1750', '154']"
658,尼崎市の図書館に駐車場はありますか？,1721,,288,"['1721', '288']",['1721'],['1721'],"['1721', '288']"
659,市立図書館はどこですか？,288,1135,,"['288', '1135']","['288', '1135']",['288'],"['288', '1135']"
660,ここから一番近い病院はどこですか。,1036,,28,"['1036', '28']",['1036'],['1036'],"['1036', '28']"
661,土地を探しています,1611,,,['1611'],['1611'],['1611'],['1611']
662,ゴミの出し方について詳しく教えてください。,1784,63 1391,,"['1784', '63', '1391']","['1784', '63', '1391']",['1784'],"['1784', '63', '1391']"
663,お寺は何か所ありますか？,,,437,['437'],[],[],['437']
664,粗大ごみはどうやって出したらいいでしょうか。,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
665,子育て支援に関する窓口はありますか。,162,,1287,"['162', '1287']",['162'],['162'],"['162', '1287']"
666,ゴミ置き場がカラスに荒らされているので何とかしてほしいのですが。,185 511,,,"['185', '511']","['185', '511']","['185', '511']","['185', '511']"
667,子供が安心して遊べる施設はどんな場所があるでしょうか？,548 154 956,607,957 0 157,"['548', '154', '956', '607', '957', '0', '157']","['548', '154', '956', '607']","['548', '154', '956']","['548', '154', '956', '607', '957', '0', '157']"
668,蜂が巣を作っているのを見かけたのですが、どこに連絡すればいいですか？,177,1117,,"['177', '1117']","['177', '1117']",['177'],"['177', '1117']"
669,職業安定所はどこにありますか？,273 633,955 1223,,"['273', '633', '955', '1223']","['273', '633', '955', '1223']","['273', '633']","['273', '633', '955', '1223']"
670,指定ごみ袋はどこに売っていますか？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
671,市長さんの名前はなんでしたっけ？,1320 585,,,"['1320', '585']","['1320', '585']","['1320', '585']","['1320', '585']"
672,市営アパートに入居したいのですが、条件や手続きの仕方を教えてください。,337,50 172,376,"['337', '50', '172', '376']","['337', '50', '172']",['337'],"['337', '50', '172', '376']"
673,次の市議会の開催はいつでしょうか？,423,,1153,"['423', '1153']",['423'],['423'],"['423', '1153']"
674,耐震性診断をしたいのですがどうしたらいいですか,,570,,['570'],['570'],[],['570']
675,公園のブランコなどの用具は古くないですか？,1230,,,['1230'],['1230'],['1230'],['1230']
676,粗大ゴミを出したいです,1391 1784,,1785,"['1391', '1784', '1785']","['1391', '1784']","['1391', '1784']","['1391', '1784', '1785']"
677,子どもの小学校を区域外に越境させたいのですがどうしたらいいですか,221,759,,"['221', '759']","['221', '759']",['221'],"['221', '759']"
678,家族に介護が必要になりました。色々相談にのっていただけますか。,108,9,973,"['108', '9', '973']","['108', '9']",['108'],"['108', '9', '973']"
679,マイナンバーカードを作りたいのですが？,,987 692,969,"['987', '692', '969']","['987', '692']",[],"['987', '692', '969']"
680,ごみ収集は何曜日ですか？,1784,,,['1784'],['1784'],['1784'],['1784']
681,燕が巣を半分くらいまで制作中なのですが、壊したら犯罪になりますか？,838,,,['838'],['838'],['838'],['838']
682,退職してかかる翌年の税金の支払いが高額なので、分割払いにしたいのですが、どういった手続きが必要ですか。,,79 615 922 699,,"['79', '615', '922', '699']","['79', '615', '922', '699']",[],"['79', '615', '922', '699']"
683,土曜日、住民票が必要になったが、どこで手続きすれば良いのでしょうか？,213 517 42 150,89 1426,,"['213', '517', '42', '150', '89', '1426']","['213', '517', '42', '150', '89', '1426']","['213', '517', '42', '150']","['213', '517', '42', '150', '89', '1426']"
684,緊急避難場所ってどこに行けばよいのでしょうか？,130 106 203 147 312 295 382,,,"['130', '106', '203', '147', '312', '295', '382']","['130', '106', '203', '147', '312', '295', '382']","['130', '106', '203', '147', '312', '295', '382']","['130', '106', '203', '147', '312', '295', '382']"
685,粗大ごみを持ち込む所がありますか？,1391 1784,,,"['1391', '1784']","['1391', '1784']","['1391', '1784']","['1391', '1784']"
686,市役所以外で、市の行政手続きを行える出張所はありますか？,89,,,['89'],['89'],['89'],['89']
687,粗大ごみはどのようにして出せば良いでしょうか？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
688,粗大ごみをこちらの持ち込みで指定日以外でも引き受けてくれる公共機関はあるのでしょうか。,1391,,1784,"['1391', '1784']",['1391'],['1391'],"['1391', '1784']"
689,資源ゴミの出し方についてまとめた資料があればください。,1784,,,['1784'],['1784'],['1784'],['1784']
690,子供の医療助成制度はありますか？,394,,593 375,"['394', '593', '375']",['394'],['394'],"['394', '593', '375']"
691,冷蔵庫を処分するには？,1784 1784,,,"['1784', '1784']","['1784', '1784']","['1784', '1784']","['1784', '1784']"
692,カラスがごみを漁って困ります。,185 511,,,"['185', '511']","['185', '511']","['185', '511']","['185', '511']"
693,プラスチックごみの分別の仕方がよく分かりません。,1784,210 63,,"['1784', '210', '63']","['1784', '210', '63']",['1784'],"['1784', '210', '63']"
694,公園に害虫がわいています。どこに問い合わせれば良いでしょうか。,1185,,420,"['1185', '420']",['1185'],['1185'],"['1185', '420']"
695,土日の業務内容を教えてください。,153,,89,"['153', '89']",['153'],['153'],"['153', '89']"
696,近所の騒音がうるさいです。,934 1071,,1503 1585,"['934', '1071', '1503', '1585']","['934', '1071']","['934', '1071']","['934', '1071', '1503', '1585']"
697,水道料金の振り込み口座を変更したいのです。受け付け窓口と持参するものを教えてください。,,,677,['677'],[],[],['677']
698,今の市長の名前は何ですか？,1320 585,,,"['1320', '585']","['1320', '585']","['1320', '585']","['1320', '585']"
699,大量のゴミを引き取ってくれるところを教えてください,1784,1391 3 210 1785,,"['1784', '1391', '3', '210', '1785']","['1784', '1391', '3', '210', '1785']",['1784'],"['1784', '1391', '3', '210', '1785']"
700,住所変更の手続きは何課に行けば良いですか？,,199 308 201,184,"['199', '308', '201', '184']","['199', '308', '201']",[],"['199', '308', '201', '184']"
701,夜間に結婚届を提出できますか？,153 952,,,"['153', '952']","['153', '952']","['153', '952']","['153', '952']"
702,健康保険証の切り替えはどうしたらいいですか？,114 845,231 360 736,84,"['114', '845', '231', '360', '736', '84']","['114', '845', '231', '360', '736']","['114', '845']","['114', '845', '231', '360', '736', '84']"
703,印鑑証明を変更したい。,196,529 42 1102 341,582 573 1597 1634,"['196', '529', '42', '1102', '341', '582', '573', '1597', '1634']","['196', '529', '42', '1102', '341']",['196'],"['196', '529', '42', '1102', '341', '582', '573', '1597', '1634']"
704,母子手帳はどこで貰えますか？,306 370,,733 716 659 594,"['306', '370', '733', '716', '659', '594']","['306', '370']","['306', '370']","['306', '370', '733', '716', '659', '594']"
705,市立公民館の利用申込みはどこに行ったら良いですか？,292 264,,663,"['292', '264', '663']","['292', '264']","['292', '264']","['292', '264', '663']"
706,転出届は転出予定日の何日前から出せますか？,8,204,,"['8', '204']","['8', '204']",['8'],"['8', '204']"
707,保険を変更したいのですがどうすれば出来ますか？,114 60 845,736 360,,"['114', '60', '845', '736', '360']","['114', '60', '845', '736', '360']","['114', '60', '845']","['114', '60', '845', '736', '360']"
708,無職ですが市民・県民税の課税証明書は取れますか？,124,984 412 15 735 443 385 325,35 137 10 99,"['124', '984', '412', '15', '735', '443', '385', '325', '35', '137', '10', '99']","['124', '984', '412', '15', '735', '443', '385', '325']",['124'],"['124', '984', '412', '15', '735', '443', '385', '325', '35', '137', '10', '99']"
709,尼崎市のシルバーセンターはどこですか？,171,,,['171'],['171'],['171'],['171']
710,ごみの分別方法を詳しく知りたいです。,1784,1391 3 210 100,,"['1784', '1391', '3', '210', '100']","['1784', '1391', '3', '210', '100']",['1784'],"['1784', '1391', '3', '210', '100']"
711,住民票を発行して欲しいのですが,150,1215 1041 1040,396 517 1426 62 447 1056,"['150', '1215', '1041', '1040', '396', '517', '1426', '62', '447', '1056']","['150', '1215', '1041', '1040']",['150'],"['150', '1215', '1041', '1040', '396', '517', '1426', '62', '447', '1056']"
712,尼崎市の子ども福祉医療受給は何歳までですか？,593,,375,"['593', '375']",['593'],['593'],"['593', '375']"
713,印鑑証明が欲しいのですが,529,582 42 573 1102 89 517 341 1597,213 1634,"['529', '582', '42', '573', '1102', '89', '517', '341', '1597', '213', '1634']","['529', '582', '42', '573', '1102', '89', '517', '341', '1597']",['529'],"['529', '582', '42', '573', '1102', '89', '517', '341', '1597', '213', '1634']"
714,確定申告をしたいのですが,,731 325 141,1136 339 336 1148,"['731', '325', '141', '1136', '339', '336', '1148']","['731', '325', '141']",[],"['731', '325', '141', '1136', '339', '336', '1148']"
715,ペットを飼い始めましたが登録とか必要ですか？,514,1110 1134 503 1670 1342,1499,"['514', '1110', '1134', '503', '1670', '1342', '1499']","['514', '1110', '1134', '503', '1670', '1342']",['514'],"['514', '1110', '1134', '503', '1670', '1342', '1499']"
716,お布団はどうやってゴミに出せばいいですか？,1784,210,,"['1784', '210']","['1784', '210']",['1784'],"['1784', '210']"
717,災害にあった時の避難場所は？,147 106 203 130 312 295 382,,,"['147', '106', '203', '130', '312', '295', '382']","['147', '106', '203', '130', '312', '295', '382']","['147', '106', '203', '130', '312', '295', '382']","['147', '106', '203', '130', '312', '295', '382']"
718,二人目の子どもの保育料ってどうなりますか？,,549 1281 862 941 1421,145 1340,"['549', '1281', '862', '941', '1421', '145', '1340']","['549', '1281', '862', '941', '1421']",[],"['549', '1281', '862', '941', '1421', '145', '1340']"
719,住民票が欲しいです,150,1215 1041 1040 846,396 1426 517 62 447 1056,"['150', '1215', '1041', '1040', '846', '396', '1426', '517', '62', '447', '1056']","['150', '1215', '1041', '1040', '846']",['150'],"['150', '1215', '1041', '1040', '846', '396', '1426', '517', '62', '447', '1056']"
720,幼稚園に通わせたいのですがどこへ問い合わせたら良い？,1263 781,212 523 266 1751 1207 305,,"['1263', '781', '212', '523', '266', '1751', '1207', '305']","['1263', '781', '212', '523', '266', '1751', '1207', '305']","['1263', '781']","['1263', '781', '212', '523', '266', '1751', '1207', '305']"
721,主人が海外転勤になりました。,671 143 385,349,,"['671', '143', '385', '349']","['671', '143', '385', '349']","['671', '143', '385']","['671', '143', '385', '349']"
722,子供の医療費助成について,593 375,,,"['593', '375']","['593', '375']","['593', '375']","['593', '375']"
723,免許の更新はどこで？,1745,,,['1745'],['1745'],['1745'],['1745']
724,引っ越しすることになりました,8 138 2,42 204,199 192 24 33 982 671 651 121,"['8', '138', '2', '42', '204', '199', '192', '24', '33', '982', '671', '651', '121']","['8', '138', '2', '42', '204']","['8', '138', '2']","['8', '138', '2', '42', '204', '199', '192', '24', '33', '982', '671', '651', '121']"
725,課税証明書の発行について,35,15,124 137 10,"['35', '15', '124', '137', '10']","['35', '15']",['35'],"['35', '15', '124', '137', '10']"
726,各種検診について,249 837,142 1485 1567 1532 1241 1423 682,14 4 1086 465 1276 489 998 398,"['249', '837', '142', '1485', '1567', '1532', '1241', '1423', '682', '14', '4', '1086', '465', '1276', '489', '998', '398']","['249', '837', '142', '1485', '1567', '1532', '1241', '1423', '682']","['249', '837']","['249', '837', '142', '1485', '1567', '1532', '1241', '1423', '682', '14', '4', '1086', '465', '1276', '489', '998', '398']"
727,結婚するんですが提出書類は？,,635,,['635'],['635'],[],['635']
728,死亡証明書はこちらで大丈夫ですか？,,89,,['89'],['89'],[],['89']
729,年金の切り替え手続きはどうすれば良い？,712 1063,314 469,83 143,"['712', '1063', '314', '469', '83', '143']","['712', '1063', '314', '469']","['712', '1063']","['712', '1063', '314', '469', '83', '143']"
730,不妊治療の補助金申請はどうすればいい？,11,,,['11'],['11'],['11'],['11']
731,婚姻届は何時まで受付してもらえますか？,952 635 42 153,,,"['952', '635', '42', '153']","['952', '635', '42', '153']","['952', '635', '42', '153']","['952', '635', '42', '153']"
732,ゴミの収集場所や曜日が知りたいです。,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
733,市立図書館はどうすれば利用できますか？,179 1123,288,109 1135 842 1279 1683 1472,"['179', '1123', '288', '109', '1135', '842', '1279', '1683', '1472']","['179', '1123', '288']","['179', '1123']","['179', '1123', '288', '109', '1135', '842', '1279', '1683', '1472']"
734,戸籍謄本がとれる場所を市役所以外でありますか？,119,153 656 952 635 883 1240 42,1131 19,"['119', '153', '656', '952', '635', '883', '1240', '42', '1131', '19']","['119', '153', '656', '952', '635', '883', '1240', '42']",['119'],"['119', '153', '656', '952', '635', '883', '1240', '42', '1131', '19']"
735,年金手帳の再発行をするにはどうすればいい？,,314 712 667 354 469,,"['314', '712', '667', '354', '469']","['314', '712', '667', '354', '469']",[],"['314', '712', '667', '354', '469']"
736,尼崎城が一般に公開されるのは何月からですか？,1723 1586,1620 1420 915 1550 1685 1674 1504,,"['1723', '1586', '1620', '1420', '915', '1550', '1685', '1674', '1504']","['1723', '1586', '1620', '1420', '915', '1550', '1685', '1674', '1504']","['1723', '1586']","['1723', '1586', '1620', '1420', '915', '1550', '1685', '1674', '1504']"
737,資源ごみの出し方はどうなっていますか？,1784,63 210 100,,"['1784', '63', '210', '100']","['1784', '63', '210', '100']",['1784'],"['1784', '63', '210', '100']"
738,母子手帳はどうすれば貰える？,306 370,,733 716 594 659,"['306', '370', '733', '716', '594', '659']","['306', '370']","['306', '370']","['306', '370', '733', '716', '594', '659']"
739,尼崎市内で引っ越しをしたのですがどのような手続きが必要ですか？,138,2 204 8,199,"['138', '2', '204', '8', '199']","['138', '2', '204', '8']",['138'],"['138', '2', '204', '8', '199']"
740,軽自動車税の分割納付はできますか,,1495 683,74,"['1495', '683', '74']","['1495', '683']",[],"['1495', '683', '74']"
741,アパートの隣の住民の騒音に悩んでいます。どのような対処が可能でしょうか？,1120,,,['1120'],['1120'],['1120'],['1120']
